Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"In fermentation, how are NADH molecules reoxidized to NAD⁺ and why does fermentation yield so little ATP?","NADH transfers electrons to an inorganic acceptor; fermentation yields little ATP because proton pumping is uncoupled.","NADH donates electrons to an organic molecule such as pyruvate or acetaldehyde, and because there is no electron transport chain, only the two ATP from glycolysis are produced.","NADH is oxidized in the mitochondria; fermentation yields little ATP because oxygen consumption is high.","NADH is converted into FADH₂; fermentation yields few ATP because FADH₂ produces less ATP.","B","NADH is reoxidized by transferring electrons to an organic molecule; because there is no ETC, only the 2 ATP from glycolysis are produced."
"Which statement about the Cori cycle is correct?","Lactate is produced in the liver and exported to muscle where it is converted to glucose.","Lactate from muscle is converted to glucose in the liver via gluconeogenesis, consuming ATP, and the glucose is returned to muscle.","The Cori cycle generates ATP in the liver and supplies it to muscle.","The cycle converts lactate to ethanol in the liver.","B","Muscle lactate travels to the liver, where gluconeogenesis converts it back into glucose at the expense of ATP."
"In a respirometer experiment, why is it necessary to include a vial with glass beads and KOH but no living tissue?","To provide extra volume for oxygen absorption.","To measure the expansion of gases due to temperature and pressure changes and serve as a control for non‑respiratory volume changes.","To supply additional CO₂ for the germinating peas.","To absorb oxygen from the atmosphere so that the seeds have less O₂.","B","The glass‑bead vial corrects for changes in gas volume due to temperature or atmospheric pressure, serving as a control."
"Which chemical reaction explains the role of KOH in a respirometer?","CO₂ + 2 KOH → K₂CO₃ + H₂O","2 KOH + O₂ → 2 KO₂ + H₂O","CO₂ + H₂O → H₂CO₃","CO₂ + O₂ → C₂O₄","A","CO₂ reacts with KOH to form solid K₂CO₃ and water, removing CO₂ so that changes in gas volume reflect O₂ consumption."
"How is oxygen consumption rate calculated from respirometer data?","By dividing total volume change by the number of seeds.","By taking the slope of the line on a volume‑versus‑time graph; a steeper negative slope indicates faster respiration.","By measuring the area under the curve of a volume graph.","By counting the number of bubbles produced per minute.","B","The slope of volume change vs. time gives the rate; a steeper negative slope indicates faster respiration."
"What happens to oxygen consumption and ATP synthesis when isolated mitochondria are exposed to the following inhibitors?","Cyanide increases oxygen consumption and ATP production; oligomycin and dinitrophenol both decrease oxygen consumption.","Cyanide stops oxygen consumption and ATP synthesis; oligomycin stops ATP synthesis but initially increases oxygen consumption; dinitrophenol decreases ATP synthesis while increasing oxygen consumption due to proton leakage.","All three inhibitors stop oxygen consumption and ATP synthesis.","Dinitrophenol increases both oxygen consumption and ATP synthesis.","B","Cyanide halts electron transport and oxygen consumption. Oligomycin blocks the proton channel of ATP synthase; proton pumping continues briefly, but oxygen consumption eventually decreases. Dinitrophenol uncouples oxidation from phosphorylation, so electrons flow rapidly and oxygen consumption increases while ATP synthesis drops."
"What is a consequence of using the glycerol‑3‑phosphate shuttle instead of the malate‑aspartate shuttle?","Cytosolic NADH yields the same ATP regardless of shuttle.","Electrons from cytosolic NADH are transferred to FAD, generating fewer ATP per NADH because they enter the ETC at complex II.","Electrons bypass the ETC entirely.","Electrons are transported directly to oxygen without pumping protons.","B","The glycerol‑3‑phosphate shuttle transfers electrons to FAD in the inner membrane, yielding fewer ATP because electrons enter at complex II."
"Which evidence supports the endosymbiotic origin of mitochondria?","Mitochondria use the same ribosomes as the nucleus.","Mitochondria have circular DNA and bacterial‑type ribosomes and divide by binary fission.","Mitochondria are synthesized de novo in the ER.","Mitochondria encode all proteins required for respiration.","B","Mitochondria have circular DNA, bacterial‑type ribosomes and divide by binary fission."
"The proton‑motive force drives processes other than ATP synthesis. Which of the following is one such process?","GTP hydrolysis in the cytosol.","Heat generation via uncoupling proteins and transport of ADP, phosphate or pyruvate across the inner membrane.","DNA replication in the nucleus.","Photosynthetic light reactions in chloroplasts.","B","The proton gradient drives ATP/ADP exchange, phosphate and pyruvate transport, and heat generation via uncoupling proteins."
"Which statement explains why germinating seeds produce CO₂ but not O₂ before photosynthetic tissues develop?","Seeds lack mitochondria and therefore ferment glucose to ethanol.","Germinating seeds respire stored nutrients and release CO₂ via mitochondrial respiration; they produce no O₂ until chloroplasts develop for photosynthesis.","Seeds photosynthesize CO₂ into O₂ through their seed coat.","Seeds fix nitrogen and release O₂.","B","Germinating seeds respire stored nutrients; they produce CO₂ and consume O₂ before photosynthesis begins."
"How do mitochondria and chloroplasts interact in a green leaf cell under high light?","Chloroplasts supply ATP and NADPH to mitochondria via the electron transport chain.","Excess reducing power from photosynthesis can be exported to mitochondria as malate or triose phosphates; mitochondria provide ATP and carbon skeletons.","Mitochondria directly donate electrons to NADP⁺ in chloroplasts.","There is no interaction; the organelles operate independently.","B","Excess reductant from chloroplasts can be exported to mitochondria via malate or triose phosphate shuttles; mitochondria return ATP and carbon skeletons."
"Which enzyme detoxifies superoxide generated by electron leakage in the ETC?","Cytochrome oxidase","Superoxide dismutase","ATP synthase","RuBisCO","B","Superoxide dismutase converts superoxide to hydrogen peroxide, which is further detoxified."
"Which human disease is correctly matched to a defect in respiration?","Pyruvate dehydrogenase deficiency → lactic acidosis and neurological defects","Hemophilia → mutation in complex I of the ETC","Type 1 diabetes → deficiency of succinate dehydrogenase","Parkinson's disease → mutation in pyruvate kinase","A","Pyruvate dehydrogenase deficiency causes lactic acidosis and neurological symptoms."
"How does UCP1 in brown adipose tissue generate heat?","It increases proton pumping at complex I.","It allows protons to re‑enter the matrix without producing ATP, dissipating the proton gradient as heat.","It activates ATP synthase to produce excess ATP.","It shuttles electrons from NADH to FADH₂.","B","UCP1 allows protons to flow back into the matrix without ATP synthesis, releasing heat."
"Why does lactic acid accumulation slow glycolysis?","High lactate raises pH and activates PFK‑1.","Low pH inhibits phosphofructokinase‑1, slowing glycolysis to prevent further acidification.","Lactate directly inhibits ATP synthase.","Lactate binds NADH and prevents its oxidation.","B","Low pH from lactic acid inhibits PFK‑1, slowing glycolysis and preventing further acidification."
"Which enzyme catalyzes an anaplerotic reaction replenishing oxaloacetate?","Pyruvate carboxylase","Pyruvate kinase","Hexokinase","Glycogen phosphorylase","A","Pyruvate carboxylase converts pyruvate to oxaloacetate in an anaplerotic reaction."
"How are the citric acid cycle and urea cycle linked?","Both cycles occur in the nucleus.","Fumarate produced in the urea cycle enters the citric acid cycle, linking energy and nitrogen metabolism.","Urea is converted into α‑ketoglutarate to replenish the cycle.","The urea cycle produces NADH for respiration.","B","Fumarate produced in the urea cycle enters the citric acid cycle, linking nitrogen disposal and energy metabolism."
"During prolonged fasting, which metabolic processes occur in the liver?","β‑oxidation of fatty acids provides acetyl‑CoA and NADH for gluconeogenesis and ketone body synthesis.","Glycolysis increases to generate ATP for fatty acid synthesis.","Amino acids are converted into glucose and glycogen is synthesized.","The citric acid cycle stops to conserve acetyl‑CoA.","A","During fasting, β‑oxidation supplies energy and acetyl‑CoA for gluconeogenesis and ketone body synthesis."
"Which statement best describes aerobic respiration in bacteria?","Bacteria lack an electron transport chain and use fermentation exclusively.","Bacteria embed electron transport components in their plasma membrane; proton pumping across the membrane drives ATP synthase that faces the cytoplasm.","Bacterial mitochondria function identically to eukaryotic mitochondria.","Bacteria perform respiration in the periplasmic space of their cell wall.","B","Bacteria embed the ETC in the plasma membrane; proton pumping across the membrane drives ATP synthase oriented toward the cytoplasm."
"Which process releases CO₂ and NH₃ during photorespiration?","The Calvin cycle in chloroplasts.","Conversion of glycine to serine in mitochondria as part of the photorespiratory pathway.","Glycolysis in the cytosol.","β‑oxidation in peroxisomes.","B","In photorespiration, mitochondria convert glycine to serine, releasing CO₂ and NH₃."
"Why might statin therapy inadvertently lower ATP production?","Statins inhibit coenzyme Q synthesis, reducing electron transfer from complexes I and II to III and decreasing ATP production.","Statins block pyruvate dehydrogenase, halting the citric acid cycle.","Statins directly inhibit ATP synthase.","Statins cause FADH₂ to bypass the electron transport chain.","A","Statins inhibit HMG‑CoA reductase, reducing CoQ levels and ATP production."
"Why do mature mammalian red blood cells rely solely on glycolysis?","They contain no glucose transporters.","They lack mitochondria, so pyruvate is reduced to lactate to regenerate NAD⁺ for glycolysis.","They oxidize fatty acids to produce ATP.","They convert lactate to ethanol.","B","Mature red blood cells lack mitochondria and rely on glycolysis; pyruvate is reduced to lactate to regenerate NAD⁺."
"Which combination lists the primary rate‑limiting enzymes for glycolysis, the citric acid cycle and electron transport?","Hexokinase, fumarase and cytochrome c oxidase.","Phosphofructokinase‑1, isocitrate dehydrogenase and the availability of ADP at ATP synthase.","Glycogen synthase, malate dehydrogenase and NADH dehydrogenase.","Pyruvate kinase, α‑ketoglutarate dehydrogenase and succinate dehydrogenase.","B","The rate‑limiting enzymes are PFK‑1 for glycolysis, isocitrate dehydrogenase for the citric acid cycle and the availability of ADP (coupling through ATP synthase) for electron transport."
"In a microrespirometer experiment, what result would you expect if germinating peas are treated with rotenone (a complex I inhibitor)?","Oxygen consumption increases because complex II compensates.","Oxygen consumption decreases compared with untreated peas because electrons from NADH cannot enter the ETC at complex I.","There is no difference because rotenone only affects photosynthesis.","Oxygen consumption ceases immediately and cannot resume even with succinate addition.","B","Rotenone inhibits complex I, preventing NADH electrons from entering the ETC, so oxygen consumption drops relative to controls."
"Why did dinitrophenol (DNP) cause dangerous weight loss when used as a diet drug?","It blocked all ATP production, causing starvation.","It acted as a proton ionophore, dissipating the proton gradient and causing cells to oxidize fuels for heat rather than ATP, leading to hyperthermia and uncontrolled weight loss.","It increased electron transport efficiency and ATP synthesis.","It inhibited β‑oxidation, decreasing fat utilization.","B","DNP uncouples oxidative phosphorylation by carrying protons across the membrane, causing heat production and dangerous weight loss."
"Which strategy could exploit the Warburg effect in cancer cells?","Enhancing lactate dehydrogenase activity to increase lactic acid production.","Inhibiting glycolysis or pyruvate dehydrogenase, thereby starving cancer cells that rely heavily on glycolysis for ATP.","Blocking mitochondrial uncouplers.","Increasing NADH oxidation at complex I.","B","Targeting glycolysis or PDH exploits cancer cells' reliance on glycolysis (Warburg effect); inhibiting lactate export can also impair tumor metabolism."
"What evidence suggests glycolysis evolved before the citric acid cycle and oxidative phosphorylation?","Glycolysis requires mitochondria, whereas the citric acid cycle does not.","Glycolysis occurs in nearly all organisms and does not require oxygen or organelles, fitting early anaerobic conditions; the citric acid cycle and oxidative phosphorylation require oxygen and evolved after endosymbiosis.","Oxidative phosphorylation functions in prokaryotes but glycolysis does not.","Early Earth was rich in oxygen, favoring oxidative phosphorylation first.","B","Glycolysis is ancient, occurring in almost all organisms and requiring no oxygen; the citric acid cycle and oxidative phosphorylation evolved later after oxygen accumulation and endosymbiosis."
"Why are mitochondrial diseases predominantly maternally inherited?","Only fathers contribute mitochondria to offspring.","The egg provides most mitochondria; sperm mitochondria are generally degraded, so mitochondrial DNA is inherited from the mother.","Mitochondrial DNA integrates into nuclear chromosomes before fertilization.","Mitochondria are synthesized from scratch in each generation.","B","The egg contributes most mitochondria; paternal mitochondria are usually degraded, so mitochondrial DNA is maternally inherited."
"How does hypoxia‑inducible factor 1 (HIF‑1) help cells adapt to low oxygen?","It increases expression of oxidative phosphorylation genes to consume more oxygen.","It shifts metabolism toward glycolysis by up‑regulating glycolytic enzymes and glucose transporters and down‑regulating mitochondrial respiration.","It activates the urea cycle to dispose of lactate.","It directly inhibits lactate dehydrogenase.","B","HIF‑1 increases glycolytic gene expression and glucose uptake while suppressing mitochondrial biogenesis, shifting metabolism toward anaerobic glycolysis."
"What does a respiratory quotient (RQ) of 0.7 indicate?","The organism is oxidizing carbohydrates exclusively.","The organism is oxidizing fats, which require more oxygen relative to CO₂ produced and thus yield an RQ below 1.0.","The organism is fermenting glucose anaerobically.","The organism is synthesizing glucose from CO₂.","B","An RQ of 0.7 suggests oxidation of fats, which require more oxygen per CO₂ produced and thus have a lower RQ."
"Which experiment supported the chemiosmotic theory proposed by Peter Mitchell?","Measurement of ATP synthesis in isolated mitochondria lacking membranes.","Demonstration that an artificial pH gradient across intact membranes can drive ATP synthesis without electron transport.","Identification of a high‑energy chemical intermediate formed by oxygen.","Observation that ATP synthase is not necessary for ATP formation.","B","Mitchell's chemiosmotic theory was supported by experiments showing that an artificial pH gradient across intact membranes can drive ATP synthesis even without electron transport."
"How does pyruvate cross the inner mitochondrial membrane into the matrix?","By simple diffusion through the lipid bilayer.","Via a proton symporter called the mitochondrial pyruvate carrier, using the proton‑motive force.","Through voltage‑gated Ca²⁺ channels.","Via the ADP/ATP translocase.","B","Pyruvate crosses the inner membrane via the mitochondrial pyruvate carrier, a proton symporter that uses the proton‑motive force."
"Which component of the proton‑motive force predominates in mitochondria and why?","The pH gradient, because protons accumulate in the matrix.","The membrane potential (Δψ), because charge separation across the inner membrane contributes most of the energy for ATP synthesis.","Neither component contributes significantly to ATP synthesis.","Both components contribute equally and cannot be distinguished.","B","In mitochondria, the membrane potential (Δψ) contributes most of the proton‑motive force; charge separation across the membrane stores more energy than the pH difference."
"What happens to proton pumping and oxygen reduction if the ETC is blocked by cyanide?","Proton pumping increases and oxygen consumption rises.","Electron flow and proton pumping stop, oxygen cannot be reduced and ATP synthesis ceases.","Oxygen continues to be reduced without electron transport.","NADH is oxidized directly by oxygen in the cytosol.","B","Cyanide blocks cytochrome c oxidase; electron transport, proton pumping and oxygen reduction stop."
"Why is the RQ of palmitic acid lower than that of glucose?","Palmitic acid contains more oxygen atoms than glucose.","Palmitic acid is more reduced and requires more oxygen per carbon to oxidize completely, producing less CO₂ per O₂ consumed.","Glucose oxidation does not involve the ETC.","Palmitic acid produces no CO₂ during oxidation.","B","Fats are more reduced than carbohydrates and thus require more oxygen for oxidation, producing less CO₂ per O₂ consumed, giving a lower RQ."
"Which transporter exchanges aspartate for glutamate plus a proton across the inner mitochondrial membrane?","The ADP/ATP translocase","The phosphate translocase","The aspartate–glutamate carrier, which uses the proton gradient to drive exchange","The malate–α‑ketoglutarate antiporter","C","The aspartate–glutamate carrier exchanges aspartate for glutamate plus a proton, using the proton gradient."
"What is the effect of a high NADH/NAD⁺ ratio in the mitochondrial matrix?","It accelerates pyruvate dehydrogenase and citric acid cycle dehydrogenases.","It inhibits pyruvate dehydrogenase and citric acid cycle dehydrogenases, slowing oxidative metabolism.","It stimulates oxygen consumption and ROS production.","It has no effect on metabolic flux.","B","A high NADH/NAD⁺ ratio inhibits pyruvate dehydrogenase and citric acid cycle dehydrogenases, slowing oxidative metabolism."
"MCAD deficiency reduces the oxidation of medium‑chain fatty acids. What is a clinical consequence of this disorder?","Elevated ketone body production and hyperglycemia during fasting.","Hypoketotic hypoglycemia during fasting due to decreased β‑oxidation and impaired gluconeogenesis.","Excess ATP production in muscle.","Increased triglyceride synthesis.","B","MCAD deficiency impairs β‑oxidation, leading to hypoketotic hypoglycemia during fasting."
"How do some plant tissues survive flooded, anoxic conditions?","They store large amounts of oxygen in vacuoles.","They use alternative oxidase pathways and switch to alcoholic fermentation, producing ethanol to regenerate NAD⁺.","They maintain normal oxidative phosphorylation by increasing complex I activity.","They photosynthesize CO₂ into oxygen underwater.","B","Flooded plant tissues use alternative oxidase pathways and switch to alcoholic fermentation, producing ethanol to regenerate NAD⁺."
"Consider the following multiple‑choice question designed to test knowledge of respiration inhibitors: 'A researcher adds an inhibitor that prevents electron transfer from cytochrome c to complex IV. Which observation would be expected?'","Electron transport continues normally, and ATP synthesis increases.","Electron transport and proton pumping stop; oxygen is not consumed and ATP synthesis halts.","Electrons bypass complex IV and directly reduce oxygen, increasing ATP.","Proton pumping at complexes I and III increases due to electron accumulation.","B","Blocking electron transfer from cytochrome c to complex IV stops electron transport and proton pumping; oxygen is not reduced and ATP synthesis halts."
"During an all‑out sprint, a muscle cell metabolizes glucose anaerobically while ATP levels fall and AMP accumulates. Which statement best explains how glycolysis continues under these conditions and how pH changes feed back into its regulation?","High ATP activates phosphofructokinase‑1 (PFK‑1) and pyruvate kinase, allowing glycolysis to proceed without lactate formation.","AMP stimulates PFK‑1 to increase glycolytic flux, while NADH is oxidized by reducing pyruvate to lactate to regenerate NAD⁺; accumulating lactic acid lowers pH, which eventually inhibits PFK‑1 to prevent further acidification.","Pyruvate is converted to acetyl‑CoA in the cytosol, entering the citric acid cycle where lactic acid is neutralized; pH has no effect on glycolytic enzymes.","AMP inhibits PFK‑1, slowing glycolysis, while lactate formation consumes protons and raises pH, thereby activating glycolysis further.","B","AMP stimulates PFK‑1 to increase glycolytic flux, while NADH is oxidized by reducing pyruvate to lactate to regenerate NAD⁺; accumulating lactic acid lowers pH, which eventually inhibits PFK‑1 to prevent further acidification."
"A researcher feeds cells uniformly labeled [¹⁴C]‑glucose and measures the distribution of ¹⁴C in metabolic products under aerobic conditions. Which product(s) will contain radiolabeled carbon after complete oxidation, and how many ¹⁴C atoms will each molecule contain?","Each NADH molecule will contain two ¹⁴C atoms because it carries electrons from two carbons of glucose.","CO₂ will contain all six ¹⁴C atoms after decarboxylation reactions in pyruvate oxidation and the citric acid cycle.","FADH₂ will be radiolabeled at the adenine moiety, carrying one ¹⁴C atom per FADH₂.","Water produced at complex IV will contain three ¹⁴C atoms because oxygen accepts three carbon atoms.","B","CO₂ will contain all six ¹⁴C atoms after decarboxylation reactions in pyruvate oxidation and the citric acid cycle."
"Consider a cell oxidizing palmitate via β‑oxidation and the citric acid cycle while also converting some acetyl‑CoA to ketone bodies. Which of the following correctly predicts the respiratory quotient (RQ) and the source of NADH used by the electron transport chain?","The RQ approaches 1.0, and NADH originates mostly from glycolysis.","The RQ is below 1.0 because palmitate oxidation consumes more O₂ per CO₂ produced; NADH is generated in both β‑oxidation and the citric acid cycle.","The RQ is 1.0 because ketone body formation produces CO₂; NADH derives exclusively from lactate dehydrogenase.","The RQ exceeds 1.0 and NADH is produced solely in gluconeogenesis.","B","The RQ is below 1.0 because palmitate oxidation consumes more O₂ per CO₂ produced; NADH is generated in both β‑oxidation and the citric acid cycle."
"In the mitochondrial matrix, a high NADH/NAD⁺ ratio inhibits pyruvate dehydrogenase and citric acid cycle enzymes. Meanwhile, ADP levels are low and succinate accumulates. What will happen to electron transport, proton pumping and ATP synthesis under these conditions?","Electron transport speeds up, proton pumping increases and ATP synthesis is stimulated because NADH is abundant.","Electron transport slows due to lack of oxidized carriers; proton pumping and ATP synthesis decrease despite succinate feeding complex II, because high NADH and low ADP limit overall flux.","Succinate oxidation at complex II will fully compensate for the inhibited enzymes, increasing ATP synthesis and reducing the NADH/NAD⁺ ratio.","High NADH activates rotenone‑sensitive complex I, resulting in increased oxygen consumption.","B","Electron transport slows due to lack of oxidized carriers; proton pumping and ATP synthesis decrease despite succinate feeding complex II, because high NADH and low ADP limit overall flux."
"When electrons from cytosolic NADH enter the mitochondrion via the malate–aspartate shuttle, they reduce NAD⁺ in the matrix. If instead the glycerol‑3‑phosphate shuttle is used, how will ATP yield and reactive oxygen species (ROS) production change, and why?","ATP yield increases and ROS production decreases because FADH₂ donates electrons at complex II, bypassing proton pumping and minimizing electron leakage.","ATP yield decreases by approximately one ATP per cytosolic NADH because electrons enter at complex II; ROS production may increase due to higher flux through the electron transport chain.","ATP yield is unaffected and ROS production falls because glycerol‑3‑phosphate is an antioxidant.","ATP yield increases because FADH₂ yields more ATP than NADH, and ROS production remains unchanged.","B","ATP yield decreases by approximately one ATP per cytosolic NADH because electrons enter at complex II; ROS production may increase due to higher flux through the electron transport chain."
"A mutant yeast strain lacks functional α‑ketoglutarate dehydrogenase. When glucose is metabolized aerobically, which of the following outcomes is most likely regarding ATP yield, biosynthesis of amino acids and redox balance?","ATP yield increases because citrate accumulates and enters gluconeogenesis.","ATP yield decreases; α‑ketoglutarate accumulates and is siphoned into amino acid synthesis; NADH accumulation inhibits upstream dehydrogenases and fermentation may occur despite oxygen availability.","ATP yield is unaffected, but amino acid synthesis stops because α‑ketoglutarate cannot be produced.","ATP yield increases because pyruvate is diverted to lactate fermentation.","B","ATP yield decreases; α‑ketoglutarate accumulates and is siphoned into amino acid synthesis; NADH accumulation inhibits upstream dehydrogenases and fermentation may occur despite oxygen availability."
"Cells treated with oligomycin exhibit rapid NADH accumulation and slowed oxygen consumption. Addition of the uncoupler dinitrophenol (DNP) restores oxygen consumption but not ATP production. Explain this observation in terms of proton gradient, electron flow and ATP synthase activity.","Oligomycin blocks ATP synthase, causing protons to accumulate, which halts electron flow; DNP dissipates the gradient, relieving back pressure and restoring electron transport and oxygen consumption but preventing ATP synthesis.","Oligomycin enhances proton pumping at complex I, increasing electron flow; DNP restores ATP synthesis by increasing the proton gradient.","Oligomycin converts ATP synthase into a proton pump; DNP inhibits complex III.","Oligomycin has no effect on the proton gradient; DNP competes with NAD⁺ for electrons.","A","Oligomycin blocks ATP synthase, causing protons to accumulate, which halts electron flow; DNP dissipates the gradient, relieving back pressure and restoring electron transport and oxygen consumption but preventing ATP synthesis."
"A microrespirometer measures O₂ consumption in germinating peas treated with malonate (a competitive inhibitor of succinate dehydrogenase). The seeds are also incubated at different temperatures. Which result would support the combined effects of enzyme inhibition and temperature on respiration?","At high temperature, malonate increases the slope of oxygen consumption because succinate dehydrogenase activity is bypassed.","At low temperature, malonate has little effect; at higher temperature, both the inhibitor and increased kinetic energy decrease O₂ consumption rate because complex II is inhibited and enzymes denature.","Malonate stimulates the citric acid cycle, increasing O₂ consumption at all temperatures.","Temperature has no effect on O₂ consumption when malonate is present because complex II is the only rate‑determining step.","B","At low temperature, malonate has little effect; at higher temperature, both the inhibitor and increased kinetic energy decrease O₂ consumption rate because complex II is inhibited and enzymes denature."
"Which combination of statements about fatty acid catabolism, the urea cycle and gluconeogenesis during starvation is accurate?","β‑oxidation supplies acetyl‑CoA and NADH to drive gluconeogenesis; amino acid deamination produces ammonia that enters the urea cycle, and fumarate generated in the urea cycle replenishes the citric acid cycle.","β‑oxidation produces glucose directly; nitrogen from amino acids is excreted as uric acid; the urea cycle consumes NADH generated from ketone bodies.","Fatty acid oxidation supplies oxaloacetate for gluconeogenesis; the urea cycle produces ketone bodies; gluconeogenesis occurs only in muscle.","β‑oxidation lowers acetyl‑CoA levels, inhibiting gluconeogenesis; ammonia is converted into urea via the electron transport chain.","A","β‑oxidation supplies acetyl‑CoA and NADH to drive gluconeogenesis; amino acid deamination produces ammonia that enters the urea cycle, and fumarate generated in the urea cycle replenishes the citric acid cycle."
"A red blood cell (RBC) in the bloodstream encounters arsenate, an inhibitor that uncouples substrate‑level phosphorylation in glycolysis by mimicking phosphate. Predict how ATP production, lactate formation and NAD⁺ regeneration will be affected in RBCs.","ATP production increases because arsenate supplies extra phosphate; lactate formation decreases because NADH is oxidized directly in the ETC.","ATP production decreases because arsenate bypasses the phosphoglycerate kinase step; lactate formation continues to regenerate NAD⁺ as pyruvate is reduced.","ATP production is unaffected; arsenate acts only in mitochondria.","ATP production increases; lactate formation ceases and NAD⁺ accumulates.","B","ATP production decreases because arsenate bypasses the phosphoglycerate kinase step; lactate formation continues to regenerate NAD⁺ as pyruvate is reduced."
