Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"In fermentation, how are NADH molecules reoxidized to NAD⁺ and why does fermentation yield so little ATP?","NADH transfers electrons to an inorganic acceptor; fermentation yields little ATP because proton pumping is uncoupled","NADH donates electrons to an organic molecule such as pyruvate or acetaldehyde, and because there is no electron transport chain, only the two ATP from glycolysis are produced","NADH is oxidized in the mitochondria; fermentation yields little ATP because oxygen consumption is high","NADH is converted into FADH₂; fermentation yields few ATP because FADH₂ produces less ATP","B","In fermentation, NADH is reoxidized by transferring electrons to organic molecules (pyruvate→lactate or acetaldehyde→ethanol). Without oxygen, no ETC operates, so only glycolysis ATP (2 net) is produced."
"Which statement about the Cori cycle is correct?","Lactate is produced in the liver and exported to muscle where it is converted to glucose","Lactate from muscle is converted to glucose in the liver via gluconeogenesis, consuming ATP, and the glucose is returned to muscle","The Cori cycle generates ATP in the liver and supplies it to muscle","The cycle converts lactate to ethanol in the liver","B","The Cori cycle: Muscle produces lactate during anaerobic glycolysis → Lactate travels to liver → Liver converts lactate to glucose (gluconeogenesis, costs 6 ATP) → Glucose returns to muscle."
"In a respirometer experiment, why is it necessary to include a vial with glass beads and KOH but no living tissue?","To provide extra volume for oxygen absorption","To measure the expansion of gases due to temperature and pressure changes and serve as a control for non-respiratory volume changes","To supply additional CO₂ for the germinating peas","To absorb oxygen from the atmosphere so that the seeds have less O₂","B","The control vial corrects for non-biological factors affecting gas volume (temperature, pressure changes). Any volume change in this vial is subtracted from the experimental vial to get true respiration rate."
"Which chemical reaction explains the role of KOH in a respirometer?","CO₂ + 2 KOH → K₂CO₃ + H₂O","2 KOH + O₂ → 2 KO₂ + H₂O","CO₂ + H₂O → H₂CO₃","CO₂ + O₂ → C₂O₄","A","KOH absorbs CO₂ produced by respiration: CO₂ + 2 KOH → K₂CO₃ + H₂O. This removes CO₂ from the gas phase, so only O₂ consumption causes volume decrease."
"How is oxygen consumption rate calculated from respirometer data?","By dividing total volume change by the number of seeds","By taking the slope of the line on a volume-versus-time graph; a steeper negative slope indicates faster respiration","By multiplying CO₂ production by oxygen concentration","By measuring the increase in gas volume over time","B","Oxygen consumption rate = change in volume / change in time. On a graph, this is the slope. A steeper negative slope means faster O₂ consumption, indicating higher respiration rate."
"Which stage of cellular respiration produces the most ATP?","Glycolysis","Pyruvate oxidation","Citric acid cycle (Krebs cycle)","Oxidative phosphorylation (Electron Transport Chain + ATP synthase)","D","Oxidative phosphorylation produces ~26-28 ATP per glucose, while glycolysis produces 2 ATP, and the citric acid cycle produces 2 ATP. Most ATP comes from the proton gradient driving ATP synthase."
"Where does glycolysis occur in the cell?","Mitochondrial matrix","Inner mitochondrial membrane","Cytoplasm","Outer mitochondrial membrane","C","Glycolysis occurs in the cytoplasm of all cells. It doesn't require oxygen and is the most ancient metabolic pathway, present in all organisms."
"What is the net ATP gain from glycolysis per glucose molecule?","1 ATP","2 ATP","4 ATP","6 ATP","B","Glycolysis uses 2 ATP in the investment phase and produces 4 ATP in the payoff phase, resulting in a net gain of 2 ATP per glucose."
"Which molecule is the final electron acceptor in aerobic respiration?","NAD+","FADH₂","Oxygen","Carbon dioxide","C","Oxygen is the final electron acceptor in the electron transport chain. It accepts electrons and combines with protons to form water (O₂ + 4H⁺ + 4e⁻ → 2H₂O)."
"What is produced when pyruvate enters the mitochondria?","Glucose","Acetyl-CoA","Lactate","Ethanol","B","Pyruvate is converted to acetyl-CoA by pyruvate dehydrogenase complex. This process also produces CO₂ and NADH. Acetyl-CoA then enters the citric acid cycle."
